word,difficulty
APPLE,1
BREAD,1
RICE,1
MILK,1
EGG,1
FISH,1
MEAT,1
SOUP,1
CAKE,1
PIE,1
CORN,1
BEAN,1
PIZZA,2
PASTA,2
SALAD,2
CHICKEN,2
CHEESE,2
BUTTER,2
POTATO,2
CARROT,2
TOMATO,2
ONION,2
LEMON,2
ORANGE,2
BANANA,2
GRAPE,2
CHERRY,2
STRAWBERRY,3
BLUEBERRY,3
RASPBERRY,3
PINEAPPLE,3
WATERMELON,3
CHOCOLATE,3
HAMBURGER,3
SANDWICH,3
SPAGHETTI,3
BROCCOLI,3
CUCUMBER,3
AVOCADO,3
CROISSANT,4
CAPPUCCINO,4
CHEESECAKE,4
HAM,1
JAM,1
NUT,1
PEA,1
FIG,1
TACO,2
SUSHI,2
PEPPER,2
GARLIC,2
GINGER,2
MANGO,2
PEACH,2
PLUM,2
MELON,2
HONEY,2
SUGAR,2
PRETZEL,3
BURRITO,3
LASAGNA,3
OMELETTE,3
PANCAKE,3
WAFFLE,3
DUMPLING,3
PUMPKIN,3
SPINACH,3
LETTUCE,3
CABBAGE,3
MUSHROOM,3
EGGPLANT,3
MACARONI,3
ZUCCHINI,4
ARTICHOKE,4
ASPARAGUS,4
PISTACHIO,4
GUACAMOLE,4
QUESADILLA,4
MARSHMALLOW,5
CAULIFLOWER,5
WRAP,2
ROLL,2
STEW,2
CHIP,2
OAT,2
YAM,2
KALE,2
TOFU,3
CURRY,2
GRAVY,3
TOAST,2
BAGEL,3
DONUT,2
MUFFIN,3
COOKIE,2
BROWNIE,3
CUSTARD,3
PUDDING,3
YOGURT,3
CEREAL,2
NOODLE,3
RAVIOLI,4
GNOCCHI,4
RISOTTO,4
TORTILLA,3
NACHOS,3
CHOWDER,4
BISCUIT,3
CRACKER,3
POPCORN,2
SHERBET,4
TRUFFLE,4
OATMEAL,3
GRANOLA,3
CASSEROLE,4
MEATBALL,3
KETCHUP,3
MUSTARD,3
RADISH,3
CELERY,3
PARSLEY,4
CILANTRO,4
OREGANO,4
PAPRIKA,4
VANILLA,3
CINNAMON,4
COCONUT,3
APRICOT,3
NECTARINE,4
PERSIMMON,5
POMEGRANATE,5
CANTALOUPE,5
MINESTRONE,5
BRUSCHETTA,5
PROSCIUTTO,5
MORTADELLA,5
FETTUCCINE,5
TIRAMISU,5
CROQUETTE,5
RATATOUILLE,5
VERMICELLI,5
