word,difficulty
SUN,1
MOON,1
STAR,1
SKY,1
RAIN,1
SNOW,1
WIND,1
CLOUD,1
TREE,1
LEAF,1
ROSE,1
GRASS,1
OCEAN,2
RIVER,2
LAKE,2
MOUNTAIN,2
FOREST,2
DESERT,2
ISLAND,2
VALLEY,2
FLOWER,2
PLANT,2
STONE,2
ROCK,2
BEACH,2
THUNDER,3
LIGHTNING,3
RAINBOW,3
SUNRISE,3
SUNSET,3
WATERFALL,3
GLACIER,3
CANYON,3
MEADOW,3
JUNGLE,3
VOLCANO,3
HURRICANE,4
TORNADO,4
AVALANCHE,4
ECOSYSTEM,4
ATMOSPHERE,4
BAY,1
MUD,1
ICE,1
FOG,2
DEW,2
HILL,2
POND,2
CAVE,2
CREEK,2
DUNE,3
REEF,3
MARSH,3
SWAMP,3
LAGOON,3
PRAIRIE,3
TUNDRA,3
WETLAND,3
DROUGHT,3
ICEBERG,3
HORIZON,3
TWILIGHT,3
CLIFF,3
PLATEAU,4
SAVANNA,4
GEYSER,4
BLIZZARD,4
MONSOON,4
CYCLONE,4
TYPHOON,4
ERUPTION,4
EROSION,4
EQUINOX,4
CONTINENT,4
PENINSULA,4
ESTUARY,4
RAINFOREST,4
STALACTITE,5
BIODIVERSITY,5
BUSH,2
VINE,2
MOSS,2
FERN,2
SAND,2
WOOD,2
SOIL,2
BARK,2
SEED,2
ROOT,2
PETAL,3
BRANCH,2
PEBBLE,3
BOULDER,3
STREAM,2
BROOK,3
GORGE,4
RIDGE,3
SUMMIT,3
CRATER,4
DELTA,3
BASIN,3
MESA,4
FJORD,5
ATOLL,5
OASIS,4
STEPPE,4
HEATH,4
GROVE,3
THICKET,4
WOODLAND,3
GRASSLAND,3
MARSHLAND,4
WILDFIRE,3
DRIZZLE,3
HAILSTORM,4
FROST,2
MIST,2
BREEZE,3
GALE,3
TIDE,2
CURRENT,3
WHIRLPOOL,4
SANDSTORM,4
DOWNPOUR,3
OVERCAST,3
METEORITE,5
AURORA,4
SOLSTICE,5
HEMISPHERE,5
PRECIPICE,5
ARCHIPELAGO,5
ESCARPMENT,5
PERMAFROST,5
WATERSHED,4
HEADLAND,4
TRIBUTARY,5
SEDIMENT,4
LIMESTONE,4
GRANITE,3
QUARTZ,3
BASALT,4
SANDSTONE,4
WILDERNESS,4
