word,difficulty
BALL,1
GOAL,1
WIN,1
TEAM,1
PLAY,1
RUN,1
JUMP,1
KICK,1
THROW,1
CATCH,1
RACE,1
SWIM,1
SOCCER,2
TENNIS,2
GOLF,2
HOCKEY,2
BOXING,2
SKIING,2
CYCLING,2
SURFING,2
DIVING,2
RUNNING,2
JOGGING,2
CRICKET,2
BASEBALL,3
FOOTBALL,3
BASKETBALL,3
VOLLEYBALL,3
BADMINTON,3
SWIMMING,3
WRESTLING,3
ARCHERY,3
BOWLING,3
KARATE,3
JUDO,3
SKATING,3
ATHLETICS,4
GYMNASTICS,4
TRIATHLON,4
SKATEBOARD,4
SNOWBOARD,4
GYM,1
NET,1
LAP,1
TAG,1
ROW,2
SKI,2
DART,2
PUCK,2
POLO,2
RUGBY,2
HIKING,2
SAILING,3
ROWING,3
FENCING,3
CLIMBING,3
LACROSSE,3
HANDBALL,3
SOFTBALL,3
NETBALL,3
SQUASH,3
CURLING,3
MARATHON,3
CANOEING,4
KAYAKING,4
BIATHLON,4
DECATHLON,4
EQUESTRIAN,4
WATERPOLO,4
WINDSURFING,5
BODYBUILDING,5
PARAGLIDING,5
BAT,2
PIN,2
MAT,2
REF,2
CUE,3
OAR,3
REP,3
SET,2
LOB,3
PUTT,3
DUNK,3
SERVE,3
VOLLEY,3
SPRINT,3
HURDLE,4
JAVELIN,4
DISCUS,4
SHOTPUT,4
RELAY,3
PADDLE,3
RACKET,3
HELMET,3
WHISTLE,3
REFEREE,4
UMPIRE,3
STADIUM,3
DRIBBLE,4
TACKLE,3
PENALTY,4
OFFSIDE,4
FORWARD,3
GOALIE,3
STRIKER,3
PITCHER,3
CATCHER,3
INNINGS,4
WICKET,4
BOWLER,3
BATSMAN,4
SNOOKER,4
BILLIARDS,5
PINGPONG,4
PARKOUR,5
ABSEILING,5
BOBSLED,4
LUGE,4
MOTOCROSS,5
WAKEBOARD,5
KITESURFING,5
ORIENTEERING,5
WEIGHTLIFTING,5
HORSERIDING,5
PENTATHLON,5
CALISTHENICS,5
STEEPLECHASE,5
RACQUETBALL,5
DODGEBALL,3
TRAMPOLINE,4
SKYDIVING,4
SNORKELING,4
PILATES,3
AEROBICS,3
